ds,25 de Mayo,9 de Julio,Adolfo Alsina,Adolfo Gonzales Chaves,Alberti,Almirante Brown,Arrecifes,Avellaneda,Ayacucho,Azul,Bahía Blanca,Balcarce,Baradero,Benito Juárez,Berazategui,Berisso,Bolívar,Bragado,Brandsen,Campana,Capitán Sarmiento,Carlos Casares,Carlos Tejedor,Carmen de Areco,Castelli,Cañuelas,Chacabuco,Chascomús,Chivilcoy,Colón,Coronel Dorrego,Coronel Pringles,Coronel Suárez,Coronel de Marina Leonardo Rosales,Daireaux,Dolores,Ensenada,Escobar,Esteban Echeverría,Exaltación de la Cruz,Florencio Varela,General Alvarado,General Alvear,General Arenales,General Belgrano,General Juan Madariaga,General La Madrid,General Las Heras,General Lavalle,General Paz,General Pinto,General Pueyrredón,General Rodríguez,General San Martín,General Viamonte,General Villegas,Guaminí,Hipólito Yrigoyen,Ituzaingó,Junín,La Costa,La Matanza,La Plata,Lanús,Laprida,Las Flores,Leandro N. Alem,Lincoln,Lobería,Lobos,Lomas de Zamora,Luján,Magdalena,Maipú,Mar Chiquita,Marcos Paz,Mercedes,Merlo,Monte,Monte Hermoso,Moreno,Morón,Navarro,Necochea,Olavarría,Patagones,Pehuajó,Pellegrini,Pergamino,Pilar,Pinamar,Puán,Quilmes,Ramallo,Rauch,Rivadavia,Rojas,Roque Pérez,Saavedra,Saladillo,Salliqueló,Salto,San Andrés de Giles,San Antonio de Areco,San Cayetano,San Fernando,San Isidro,San Nicolás,San Pedro,San Vicente,Suipacha,Tandil,Tapalqué,Tigre,Tornquist,Trenque Lauquen,Tres Arroyos,Tres Lomas,Tres de Febrero,Vicente López,Villa Gesell,Villarino,Zárate
2020-03-01,-0.132166,-0.01345666666666667,-0.115935,-0.01505,-0.19091,-0.13327,-0.13494,0.07313666666666667,-0.016825,-0.13310999999999998,-0.12692,-0.060820000000000006,-0.1225,-0.11331,-0.14870999999999998,-0.15083,-0.0038200000000000005,-0.09548999999999999,-0.14456,-0.1304,-0.15087,-0.10271,-0.031580000000000004,-0.01038,-0.030860000000000002,-0.14601,-0.10689,-0.08448,-0.15727,-0.07709,0.03458,-0.034015000000000004,-0.13239,-0.0618,-0.00234,-0.13735999999999998,-0.09161,-0.13425,-0.1223,-0.09763,-0.13971,0.1874,0.001833333333333335,-0.15821,-0.12624,-0.058039999999999994,0.03822,-0.14432999999999999,-0.029269999999999997,0.06783,-0.24234,-0.03816,-0.15003,-0.144655,-0.2296,-0.09953,-0.15253,-0.14448,-0.04155,-0.06514666666666664,0.358,-0.15214,-0.13414,-0.14759,-0.07929,-0.08551,-0.06485,-0.21686,-0.02655,-0.07644,-0.14477,-0.13852,-0.06096,-0.16447,0.11922,-0.13222,-0.102985,-0.15725999999999998,-0.031810000000000005,0.27244,-0.09057500000000002,-0.13362000000000002,-0.16134,-0.07506,-0.13096,-0.05535,-0.07825,0.007600000000000001,-0.09683,-0.1331,0.33834000000000003,-0.07597999999999999,-0.15474000000000002,-0.08938,-0.03678,-0.121075,-0.10585,1e-05,-0.009059999999999999,-0.10667,-0.1125,-0.14678,-0.01684,-0.15929000000000001,-0.02107,-0.18136,-0.09393,-0.16255,-0.14477666666666666,-0.13701,-0.03216,-0.11590999999999999,-0.08762,-0.11475,-0.01144,-0.11893,-0.04905,-0.15591,-0.11512,-0.08229,0.39629000000000003,0.004,-0.12087
2020-03-02,-0.015446000000000001,-0.022286666666666666,0.0048899999999999985,0.02221,-0.08564,-0.00493,0.0549,0.08864666666666667,-0.027075,0.045989999999999996,0.04005,0.08892,-0.01059,0.01517,0.05246,0.05055,0.13298,0.0052899999999999996,0.026260000000000002,0.054229999999999993,-0.02623,-0.0556,-0.04043,-0.0648,0.13291,0.08455,-0.01748,0.025240000000000002,0.02134,0.0419,0.11517999999999999,0.055015,0.034,0.03854,0.06837,-0.02239,0.07547000000000001,0.04933,0.07027,0.06566,0.08875,0.12443,0.05589333333333333,-0.021830000000000002,0.0033100000000000004,0.01853,0.06829,-0.01796,0.32832,-0.045245,-0.06476,0.07589,0.0719,0.046314999999999995,-0.11094000000000001,0.02215,0.02159,0.04043,-0.029439999999999997,0.021339999999999998,0.24750999999999998,0.07286000000000001,0.06536,0.041819999999999996,-0.09378,0.10088,0.028225,-0.07164,0.077,0.0271,0.08511,0.07006,0.00728,0.00982666666666667,0.16432,0.0617,0.09317500000000001,0.05786,0.04849,0.2752,0.10286999999999999,0.053610000000000005,-0.01641,0.09551,0.055970000000000006,0.09489,-0.02512,0.0329,0.035289999999999995,0.07242,0.17371,-0.015090000000000001,0.06987,0.0079,0.01087,0.0025675000000000003,0.026619999999999998,-0.00236,-0.01153,0.05237000000000001,-0.06838999999999999,-0.00995,0.20838,0.05632,-0.02174,0.0059,0.08453,0.05127999999999999,0.03832666666666667,0.06754,-0.00238,0.059829999999999994,0.07617,0.07531,0.07708999999999999,0.029189999999999997,-0.00095,-0.02936,0.07101,0.09409,0.34201,0.038110000000000005,0.08834
2020-03-03,0.014202000000000001,0.021973333333333334,-0.04245,-0.03096,-0.057920000000000006,-0.03778000000000001,0.00588,0.15984,0.00665,0.062310000000000004,0.0162,0.01967,0.06597,0.06471,0.05499,0.057670000000000006,-0.021419999999999998,-0.00499,0.07078,0.04333,-0.05492999999999999,0.006640000000000001,0.0164,-0.018269999999999998,0.15079,0.16155999999999998,-0.050940000000000006,-5e-05,0.00938,0.046913333333333335,0.02675,0.03417,0.04977,0.0594,0.04177,-0.028589999999999997,0.10056,0.07032999999999999,0.09075,0.10125,0.1272,0.07305,0.17439000000000002,-0.01084,-0.019796666666666667,0.07132999999999999,0.17384000000000002,-0.06826,,0.013955,-0.0367,0.026119999999999997,0.07591,0.06261,0.025869999999999997,0.01455,0.011559999999999999,-0.01781,0.00861,0.02846333333333333,0.13504000000000002,0.09358,0.04886,0.02893,-0.07236000000000001,0.16512000000000002,0.008225,-0.04597,0.08211,0.03574,0.11787,0.03489,0.04888,0.03511333333333334,0.07091,0.08553999999999999,0.02162,0.05715,0.05973,0.08012999999999999,0.12611,0.05055,-0.09165,0.030610000000000002,0.04082,0.02426,0.027569999999999997,0.11101,0.01202,0.06573999999999999,0.1045,-0.07859,0.08221,0.10304,0.056479999999999995,-0.13478,0.0143,0.04445,0.02025,0.07902999999999999,-0.10486,-0.02885,0.10347,-0.08317000000000001,-0.07081,0.06131,0.0643,0.02131,-0.012613333333333332,0.08837,-0.09627999999999999,0.01097,-0.01715,0.07144,0.01599,0.033760000000000005,-0.06791,-0.05694,0.07574,0.09236,0.14575,-0.02194,0.10330999999999999
2020-03-04,0.013332000000000005,0.03188333333333334,-0.021159999999999995,0.061189999999999994,-0.0022,-0.011415000000000002,0.0077599999999999995,-0.039143333333333336,-0.010755000000000004,-0.006490000000000001,-0.04267,0.0214,-0.01781,-0.01728,0.00413,0.02036,0.00237,-0.00479,0.01214,-0.00441,-0.06598,-0.06773,-0.07443999999999999,-0.08707000000000001,-0.11959000000000002,-0.0038399999999999997,-0.05069666666666667,-0.01296,-0.0071400000000000005,-0.023703333333333337,0.027639999999999998,-0.005705,-0.0019100000000000002,0.018000000000000002,0.03081,-0.06584,0.05036,-0.00107,-0.0001,-0.01585,0.01636,0.06629,-0.03768666666666667,-0.05747000000000001,-0.05707,-0.026060000000000003,0.07288,-0.04305,,-0.049049999999999996,-0.056479999999999995,0.00525,-0.00225,-0.007345,-0.04339,-0.0008300000000000001,-0.01037,0.102,-0.11673,-0.030333333333333334,0.03142,0.01085,0.02194,0.01406,-0.035539999999999995,0.029710000000000004,0.006145000000000001,0.01056,0.04068,0.02411,0.0096,-0.00584,0.00662,0.0010533333333333321,0.03829,0.0083,-0.005389999999999999,0.011359999999999999,-0.02351,0.02,-0.02523,0.013930000000000001,-0.03862,0.02479,-0.00275,0.01781,-0.01493,-0.028574999999999996,-0.02702,0.0042,0.01936,-0.15199000000000001,-0.00061,-0.02443,-0.01654,-0.0035650000000000005,0.00366,0.006379999999999999,-0.0017699999999999999,0.00044,-0.05914,-0.04879,-0.03404,-0.08897999999999999,-0.02572,-0.00361,0.01644,-0.02021,0.006393333333333333,0.0235,-0.09214,0.01139,7e-05,0.016919999999999998,-0.0599,0.01623,-0.037739999999999996,0.021269999999999997,0.0217,0.014230000000000001,0.061529999999999994,-0.0308,-0.0043100000000000005
2020-03-05,-0.034296,0.005816666666666668,0.04211,0.0068,0.01204,-0.01072,0.03163,0.0005166666666666653,-0.01094,0.06861,0.00746,0.1086,0.016909999999999998,0.07682,0.01547,0.04567,0.029210000000000003,0.03606,0.06556000000000001,0.03204,-0.04055,0.023809999999999998,-0.062329999999999997,-0.02489,-0.12944,0.017269999999999997,-0.032376666666666665,-0.02051,0.01329,-0.012243333333333333,0.02185,0.010220000000000007,0.03718,0.030080000000000003,0.043410000000000004,-0.020390000000000002,0.07231,0.038810000000000004,0.037360000000000004,0.015090000000000001,0.03574,0.0202,0.013516666666666668,0.00187,0.026173333333333337,0.01242,0.06745,0.06732,,0.03294,0.07509,0.03193,0.032560000000000006,0.030739999999999996,0.0432,0.02164,-0.010459999999999999,-0.053439999999999994,-0.02588,-0.01889,-0.0137,0.037489999999999996,0.04705,0.035,0.10354000000000001,-0.01284,0.024864999999999998,0.03784,-0.0061600000000000005,0.07329,0.05088,0.01341,0.018369999999999997,0.07022333333333332,0.00633,0.027460000000000002,0.02341,0.03096,0.03687,-0.0937,0.04367,0.0369,-0.0113,0.039830000000000004,0.05895,0.1265,0.04885,-0.10013,-0.0026100000000000003,0.03822,-0.01401,-0.00792,0.04161,0.035210000000000005,0.18141,-0.0121225,0.078,0.08985,0.037239999999999995,0.024880000000000003,0.10910999999999998,0.010029999999999999,0.026539999999999998,0.06755,-0.00281,0.00045999999999999996,0.04565,0.03398,0.022466666666666663,0.039689999999999996,0.07707,0.06552999999999999,0.00793,0.04637,0.057010000000000005,0.07787000000000001,0.06297,-0.051739999999999994,0.034980000000000004,0.051160000000000004,-0.0125,0.04162,0.02731
2020-03-06,0.03034,0.007403333333333334,0.049655,0.07757,0.0238,0.05194,0.01813,0.035480000000000005,-0.0024200000000000055,0.0656,-0.008459999999999999,0.076,-0.02905,0.0009599999999999999,0.04671,0.0646,-0.021330000000000002,0.029639999999999996,0.00778,0.047760000000000004,0.05524,0.0109,-0.0676,0.0781,0.011479999999999999,0.05824,0.018636666666666666,0.04127,0.02339,0.016156666666666666,-0.018359999999999998,0.040775,0.04577,0.03129,0.02419,0.05235,0.08831,0.053529999999999994,0.06046,0.017240000000000002,0.07361000000000001,0.00556,-0.06035666666666667,-0.00412,0.0007033333333333336,0.00485,0.12527,0.04593,,0.01997,0.02935,0.05223,0.04736,0.046165000000000005,0.07324,0.013090000000000001,0.10603,-0.00164,-0.06782,-0.0009933333333333346,-0.02422,0.05103,0.07545,0.05256,-0.03167,0.09397,0.042820000000000004,0.024030000000000003,0.10848,-0.00645,0.057510000000000006,0.05665,0.023190000000000002,0.000559999999999998,0.03213,0.013619999999999998,0.04624,0.049960000000000004,0.00255,-0.06217999999999999,0.049385,0.04672,0.0397,0.04943,0.036160000000000005,0.12499,0.0033799999999999998,0.026645000000000002,0.01094,0.0632,-0.03559,-0.07432000000000001,0.06337000000000001,0.058539999999999995,0.019180000000000003,0.034115,0.02659,0.06669,-0.00755,-0.00998,-0.00324,0.01169,0.05164,0.09097999999999999,-0.02313,0.03723,0.0395,0.0327,0.013823333333333333,0.07331,0.09502000000000001,0.03524,0.13458,0.04378,-0.02733,-0.016640000000000002,0.12,0.0045899999999999995,0.06538,0.05086,-0.04445,0.01107,0.05184
2020-03-07,0.026049999999999997,0.04374666666666666,0.037254999999999996,0.08824,0.062310000000000004,-0.03091,0.00495,0.036623333333333334,-0.003470000000000001,0.02398,-0.01396,0.024319999999999998,-0.01006,0.01818,0.0033399999999999997,0.044989999999999995,-0.03708,-0.00983,-0.01341,-0.02221,0.040260000000000004,-0.03678,-0.02302,0.007859999999999999,-0.02541,0.050589999999999996,-0.045059999999999996,0.03149,0.022680000000000002,-0.03478,0.0017399999999999998,0.006334999999999993,-0.00479,0.00248,0.03936,-0.02556,0.052079999999999994,0.00451,0.02019,0.03338,0.040389999999999995,-0.06001,0.055366666666666654,-0.02984,0.006263333333333329,-0.00614,0.03399,0.03015,,0.0023250000000000007,0.045739999999999996,-0.01935,0.014709999999999999,0.02399,-0.09247000000000001,0.07948999999999999,0.03393,-0.03607,0.025509999999999998,-0.04064,-0.12565,0.0132,0.02535,-0.036719999999999996,0.03804,0.08459,0.032775,-0.02899,-0.026019999999999998,0.05527000000000001,-0.00883,0.031239999999999997,0.09147000000000001,0.037649999999999996,-0.059489999999999994,0.0232,-0.016795,0.02267,0.07622999999999999,-0.03875,0.045270000000000005,-0.00175,0.04083,-0.012629999999999999,0.0028,0.27302,-0.0097,0.091855,-0.016280000000000003,0.02876,-0.11525999999999999,-0.049139999999999996,0.0036,-0.00185,0.12134,-0.014605,-0.041530000000000004,-0.01609,-0.00296,0.01217,-0.09988,-0.0005,0.062189999999999995,0.04108,-0.01494,0.03059,0.026410000000000003,-0.055029999999999996,0.02645,0.05641,0.03261,-0.04066,-0.02611,0.02885,-0.01573,-0.04281,0.05901,-0.036660000000000005,0.0024,0.01679,-0.16187,-0.02329,0.04068
2020-03-08,-0.059438000000000005,-0.004159999999999993,0.06188500000000001,0.0035600000000000002,-0.07998999999999999,-0.069345,-0.12449,0.08719333333333334,-0.018355,-0.06196,-0.03499,0.015519999999999999,-0.07812000000000001,-0.03071,-0.051460000000000006,-0.04244,-0.029330000000000002,-0.07253,-0.027639999999999998,-0.06586,-0.07357999999999999,-0.13685999999999998,-0.11214,0.09691,0.08,-0.048589999999999994,-0.07146999999999999,0.053020000000000005,-0.09041,-0.05087666666666666,0.06556000000000001,-0.005110000000000002,-0.0079,-0.0561,-0.00642,0.25066,-0.00297,-0.0542,-0.03082,-0.02862,-0.03632,0.036039999999999996,0.08091666666666668,-0.18633,-0.06695666666666666,-0.05869,0.12308,-0.09003,-0.02554,0.024279999999999996,-0.11425,-0.05285,-0.07672000000000001,-0.08191999999999999,-0.15300999999999998,-0.06877,-0.00892,-0.031010000000000003,-0.05105,-0.06838333333333334,0.21295999999999998,-0.06558,-0.045219999999999996,-0.0965,-0.07144,0.046,-0.005630000000000001,-0.14895,0.042289999999999994,-0.0021899999999999997,-0.07567,-0.020819999999999998,-0.04386,-0.05647333333333333,0.1451,-0.040999999999999995,-0.019355,-0.08065,0.03272,0.2506,-0.07561499999999999,-0.07314,-0.09308999999999999,0.00607,0.03773,0.22974,-0.10057,-0.009190000000000004,-0.07501000000000001,-0.03833,0.14055,0.0283,-0.05803,0.0057799999999999995,0.18325,-0.07929749999999999,-0.03305,-0.0293,0.030410000000000003,-0.050589999999999996,-0.1451,-0.06564,-0.01113,-0.06965,0.0375,-0.11337,-0.046830000000000004,-0.1153,-0.06743333333333333,-0.04166,-0.0009699999999999999,-0.05222,-0.057370000000000004,-0.03599,0.013369999999999998,-0.060779999999999994,0.22585999999999998,-0.09742999999999999,-0.06571,-0.05641,0.19949,0.00984,-0.07881
2020-03-09,0.010602,-0.0067399999999999995,0.058765,0.23989000000000002,-0.07902999999999999,0.012625,0.01669,0.06806333333333332,0.068485,0.02737,0.06398,0.06306,-0.01908,0.00908,0.06465,0.04434,-0.030889999999999997,-0.061270000000000005,0.09394,0.07036,-0.01706,-0.08277999999999999,-0.14375,-0.045860000000000005,0.05005,0.11735999999999999,-0.058710000000000005,0.016669999999999997,-0.01457,0.03291333333333334,0.055970000000000006,0.017435000000000006,0.060239999999999995,0.03257,-0.03084,0.15128,0.07983,0.07711,0.0869,0.12478,0.11678,0.08273,0.05538333333333333,-0.09602000000000001,0.009846666666666665,-0.0137,0.09795,0.06407,,-0.01888,-0.029960000000000004,0.037110000000000004,0.07591,0.063015,-0.18978,-0.10042999999999999,-0.11904,-0.05905,-0.05565,0.04268333333333333,0.20219,0.09754,0.05786,0.04967,-0.09179,0.00758,0.07061500000000001,-0.17254,0.02733,0.0018,0.0774,0.11579,-0.05218,0.05307666666666666,0.19028,0.10421,0.042120000000000005,0.08686,0.05757999999999999,0.15067,0.032695,0.06765,0.01699,0.02163,0.04403,0.31261,-0.02255,-0.024370000000000003,-0.0161,0.07552,0.024130000000000002,0.01,0.07977999999999999,0.08461,-0.00161,0.03622,0.03182,0.07669,-0.00168,0.00436,-0.04067,-0.03412,0.11857000000000001,0.02719,0.08319,-0.01961,0.08091,0.06652000000000001,0.021150000000000002,0.08987,-0.02875,0.00484,-0.00465,0.10287,0.09656,0.07177,0.27473000000000003,0.06762,0.09607,0.08167999999999999,0.11935,0.04743,0.10225
2020-03-10,0.044596000000000004,0.013796666666666667,-0.054125,0.01926,0.0155,-0.004030000000000006,0.01115,0.23199,0.070955,0.08298,0.0838,0.09425,0.03578,0.07935,0.08116,0.0902,0.027030000000000002,-0.031010000000000003,0.10625,0.07091,-0.07449,0.04652,0.018580000000000003,0.038110000000000005,0.20074,0.20114,-0.018596666666666668,0.07071000000000001,0.041510000000000005,0.05166333333333334,0.12554,0.041789999999999994,0.07457000000000001,0.08561,-0.012190000000000001,0.0151,0.11925999999999999,0.08479,0.12021,0.07397000000000001,0.16648,0.044469999999999996,-0.012553333333333333,-0.03394,0.05640666666666666,0.00359,0.10955999999999999,0.12282,,-0.045135,-0.07351,0.04063,0.10474000000000001,0.067145,0.01923,0.00615,0.04703,0.06935,-0.027339999999999996,0.01668333333333333,0.1272,0.12057000000000001,0.0958,0.06646,-0.11907000000000001,0.14615999999999998,0.043855,-0.06761,0.01678,0.05877,0.14744000000000002,0.038439999999999995,0.048589999999999994,0.07993666666666667,0.08222,0.11269000000000001,0.07116499999999999,0.08962,0.09607,0.03321,0.14465,0.08743,0.011359999999999999,-0.00856,0.06601,0.02978,0.00747,0.0069700000000000005,0.0117,0.09027,0.01909,-0.019,0.10892,0.10055,0.03757,0.008549999999999999,0.01001,0.02217,0.03011,0.06947,-0.00839,-0.0179,0.11109000000000001,-0.03105,-0.05197,0.08821,0.09637000000000001,0.06639,0.014883333333333332,0.12938,-0.11794,0.0419,-0.059120000000000006,0.09954,-0.0434,0.04726,-0.015080000000000001,0.09581,0.10024,0.11588,0.11837,0.0984,0.11955
